"Title","Year","Length","Budget","Rating","Votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"A.k.a. Cassius Clay",1970,85,-1,5.7,43,4.5,0,4.5,14.5,4.5,24.5,14.5,14.5,4.5,14.5,"PG",0,0,0,0,1,0,0
"AKA",2002,123,-1,6,335,24.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"AVP: Alien Vs. Predator",2004,102,4.5e+07,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Abandon",2002,99,2.5e+07,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Abendland",1999,146,-1,5,46,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Aberration",1997,93,-1,4.8,149,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Abilene",1999,104,-1,4.9,42,0,4.5,4.5,4.5,14.5,14.5,4.5,4.5,24.5,24.5,"PG",0,0,0,1,0,0,0
"Ablaze",2001,97,-1,3.6,98,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Abominable Dr. Phibes, The",1971,94,-1,6.7,1547,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,0,0,0,0,0
"About Adam",2000,105,-1,6.4,1303,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"About Schmidt",2002,125,3e+07,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,0,0
"About a Boy",2002,101,2.7e+07,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"PG-13",0,0,1,1,0,0,0
"Above Suspicion",1995,95,-1,6.4,394,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Above Suspicion",2000,92,-1,5.8,128,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Abre los ojos",1997,117,-1,7.8,8087,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,1,0
"Absolon",2003,96,8e+06,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Absolute Power",1997,121,5e+07,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Abuelo, El",1998,147,-1,7.7,423,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"Abyss, The",1989,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Access Denied",1997,95,-1,3.8,43,14.5,14.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"According to Spencer",2001,95,-1,4.1,124,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,1,0,0,1,0
"Ace Ventura: Pet Detective",1994,86,1.2e+07,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Ace Ventura: When Nature Calls",1995,90,3e+07,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Achilles' Love",2000,90,-1,4.4,20,34.5,4.5,14.5,4.5,4.5,14.5,0,4.5,14.5,14.5,"PG",0,0,1,0,0,1,0
"Action League Now!!: Rock-A-Big-Baby",1997,5,-1,2.8,26,14.5,4.5,4.5,0,0,14.5,4.5,4.5,4.5,44.5,"PG",0,1,1,0,0,0,1
