,X,Month,CrimeType ,CrimeDetails,CrimeCount,Borough
1,1,201104,Violence Against The Person,Common Assault,81,Kensington and Chelsea
2,2,201104,Burglary,Burglary In A Dwelling,78,Kensington and Chelsea
3,3,201104,Other Notifiable Offences,Other Notifiable,12,Kensington and Chelsea
4,4,201104,Robbery,Personal Property,41,Kensington and Chelsea
5,5,201104,Theft & Handling,Handling Stolen Goods,3,Kensington and Chelsea
6,6,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,59,Kensington and Chelsea
7,7,201104,Violence Against The Person,Wounding/GBH,9,Kensington and Chelsea
8,8,201104,Criminal Damage,Criminal Damage To Other Building,16,Kensington and Chelsea
9,9,201104,Criminal Damage,Criminal Damage To Dwelling,36,Kensington and Chelsea
10,10,201104,Violence Against The Person,Other Violence,3,Kensington and Chelsea
11,11,201104,Robbery,Business Property,6,Kensington and Chelsea
12,12,201104,Sexual Offences,Other Sexual,6,Kensington and Chelsea
13,13,201104,Theft & Handling,Motor Vehicle Interference & Tampering,5,Kensington and Chelsea
14,14,201104,Violence Against The Person,Offensive Weapon,3,Kensington and Chelsea
15,15,201104,Theft & Handling,Theft From Motor Vehicle,132,Kensington and Chelsea
16,16,201104,Drugs,Possession Of Drugs,87,Kensington and Chelsea
17,17,201104,Other Notifiable Offences,Going Equipped,1,Kensington and Chelsea
18,18,201104,Burglary,Burglary In Other Buildings,60,Kensington and Chelsea
19,19,201104,Violence Against The Person,Assault With Injury,89,Kensington and Chelsea
20,20,201104,Criminal Damage,Criminal Damage To Motor Vehicle,32,Kensington and Chelsea
21,21,201104,Theft & Handling,Theft Person,76,Kensington and Chelsea
22,22,201104,Fraud & Forgery,Other Fraud & Forgery,29,Kensington and Chelsea
23,23,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,45,Kensington and Chelsea
24,24,201104,Criminal Damage,Other Criminal Damage,25,Kensington and Chelsea
25,25,201104,Drugs,Drug Trafficking,2,Kensington and Chelsea
26,26,201104,Sexual Offences,Rape,7,Kensington and Chelsea
27,27,201104,Fraud & Forgery,Counted Per Victim,33,Kensington and Chelsea
28,28,201104,Violence Against The Person,Harassment,71,Kensington and Chelsea
29,29,201104,Theft & Handling,Theft From Shops,156,Kensington and Chelsea
30,30,201104,Theft & Handling,Other Theft,442,Kensington and Chelsea
31,31,201104,Sexual Offences,Other Sexual,38,Westminster
32,32,201104,Robbery,Business Property,2,Westminster
33,33,201104,Drugs,Possession Of Drugs,492,Westminster
34,34,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,159,Westminster
35,35,201104,Robbery,Personal Property,192,Westminster
36,36,201104,Sexual Offences,Rape,10,Westminster
37,37,201104,Drugs,Drug Trafficking,9,Westminster
38,38,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,49,Westminster
39,39,201104,Theft & Handling,Handling Stolen Goods,9,Westminster
40,40,201104,Criminal Damage,Criminal Damage To Motor Vehicle,92,Westminster
41,41,201104,Violence Against The Person,Wounding/GBH,45,Westminster
42,42,201104,Other Notifiable Offences,Going Equipped,4,Westminster
43,43,201104,Theft & Handling,Theft From Motor Vehicle,237,Westminster
44,44,201104,Criminal Damage,Criminal Damage To Other Building,42,Westminster
45,45,201104,Theft & Handling,Other Theft,1692,Westminster
46,46,201104,Violence Against The Person,Common Assault,178,Westminster
47,47,201104,Theft & Handling,Motor Vehicle Interference & Tampering,5,Westminster
48,48,201104,Violence Against The Person,Offensive Weapon,21,Westminster
49,49,201104,Fraud & Forgery,Counted Per Victim,91,Westminster
50,50,201104,Theft & Handling,Theft From Shops,421,Westminster
51,51,201104,Violence Against The Person,Other Violence,30,Westminster
52,52,201104,Fraud & Forgery,Other Fraud & Forgery,70,Westminster
53,53,201104,Criminal Damage,Other Criminal Damage,63,Westminster
54,54,201104,Other Notifiable Offences,Other Notifiable,84,Westminster
55,55,201104,Theft & Handling,Theft Person,657,Westminster
56,56,201104,Violence Against The Person,Harassment,196,Westminster
57,57,201104,Criminal Damage,Criminal Damage To Dwelling,38,Westminster
58,58,201104,Burglary,Burglary In A Dwelling,106,Westminster
59,59,201104,Violence Against The Person,Assault With Injury,283,Westminster
60,60,201104,Burglary,Burglary In Other Buildings,206,Westminster
61,61,201104,Other Notifiable Offences,Going Equipped,1,Camden
62,62,201104,Theft & Handling,Motor Vehicle Interference & Tampering,17,Camden
63,63,201104,Theft & Handling,Other Theft,677,Camden
64,64,201104,Burglary,Burglary In A Dwelling,160,Camden
65,65,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,129,Camden
66,66,201104,Theft & Handling,Theft From Shops,121,Camden
67,67,201104,Robbery,Personal Property,141,Camden
68,68,201104,Other Notifiable Offences,Other Notifiable,16,Camden
69,69,201104,Violence Against The Person,Harassment,116,Camden
70,70,201104,Criminal Damage,Criminal Damage To Dwelling,42,Camden
71,71,201104,Violence Against The Person,Murder,1,Camden
72,72,201104,Violence Against The Person,Wounding/GBH,23,Camden
73,73,201104,Robbery,Business Property,9,Camden
74,74,201104,Criminal Damage,Other Criminal Damage,45,Camden
75,75,201104,Theft & Handling,Theft From Motor Vehicle,212,Camden
76,76,201104,Sexual Offences,Rape,4,Camden
77,77,201104,Violence Against The Person,Assault With Injury,193,Camden
78,78,201104,Fraud & Forgery,Counted Per Victim,79,Camden
79,79,201104,Fraud & Forgery,Other Fraud & Forgery,34,Camden
80,80,201104,Sexual Offences,Other Sexual,23,Camden
81,81,201104,Theft & Handling,Theft Person,297,Camden
82,82,201104,Drugs,Possession Of Drugs,155,Camden
83,83,201104,Criminal Damage,Criminal Damage To Other Building,31,Camden
84,84,201104,Violence Against The Person,Other Violence,14,Camden
85,85,201104,Criminal Damage,Criminal Damage To Motor Vehicle,88,Camden
86,86,201104,Drugs,Drug Trafficking,11,Camden
87,87,201104,Violence Against The Person,Common Assault,138,Camden
88,88,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,64,Camden
89,89,201104,Burglary,Burglary In Other Buildings,134,Camden
90,90,201104,Theft & Handling,Handling Stolen Goods,5,Camden
91,91,201104,Violence Against The Person,Offensive Weapon,10,Camden
92,92,201104,Sexual Offences,Other Sexual,14,Hammersmith and Fulham
93,93,201104,Drugs,Possession Of Drugs,110,Hammersmith and Fulham
94,94,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,115,Hammersmith and Fulham
95,95,201104,Robbery,Business Property,3,Hammersmith and Fulham
96,96,201104,Robbery,Personal Property,53,Hammersmith and Fulham
97,97,201104,Theft & Handling,Other Theft,237,Hammersmith and Fulham
98,98,201104,Theft & Handling,Theft From Motor Vehicle,276,Hammersmith and Fulham
99,99,201104,Violence Against The Person,Common Assault,98,Hammersmith and Fulham
100,100,201104,Sexual Offences,Rape,4,Hammersmith and Fulham
101,101,201104,Criminal Damage,Criminal Damage To Other Building,19,Hammersmith and Fulham
102,102,201104,Drugs,Other Drugs,2,Hammersmith and Fulham
103,103,201104,Violence Against The Person,Offensive Weapon,4,Hammersmith and Fulham
104,104,201104,Violence Against The Person,Wounding/GBH,24,Hammersmith and Fulham
105,105,201104,Other Notifiable Offences,Going Equipped,6,Hammersmith and Fulham
106,106,201104,Criminal Damage,Criminal Damage To Motor Vehicle,61,Hammersmith and Fulham
107,107,201104,Other Notifiable Offences,Other Notifiable,24,Hammersmith and Fulham
108,108,201104,Theft & Handling,Handling Stolen Goods,8,Hammersmith and Fulham
109,109,201104,Theft & Handling,Theft Person,88,Hammersmith and Fulham
110,110,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,60,Hammersmith and Fulham
111,111,201104,Drugs,Drug Trafficking,4,Hammersmith and Fulham
112,112,201104,Criminal Damage,Criminal Damage To Dwelling,41,Hammersmith and Fulham
113,113,201104,Fraud & Forgery,Other Fraud & Forgery,18,Hammersmith and Fulham
114,114,201104,Theft & Handling,Motor Vehicle Interference & Tampering,15,Hammersmith and Fulham
115,115,201104,Violence Against The Person,Harassment,105,Hammersmith and Fulham
116,116,201104,Theft & Handling,Theft From Shops,182,Hammersmith and Fulham
117,117,201104,Burglary,Burglary In A Dwelling,145,Hammersmith and Fulham
118,118,201104,Fraud & Forgery,Counted Per Victim,31,Hammersmith and Fulham
119,119,201104,Violence Against The Person,Other Violence,14,Hammersmith and Fulham
120,120,201104,Criminal Damage,Other Criminal Damage,26,Hammersmith and Fulham
121,121,201104,Burglary,Burglary In Other Buildings,41,Hammersmith and Fulham
122,122,201104,Violence Against The Person,Assault With Injury,114,Hammersmith and Fulham
123,123,201104,Theft & Handling,Handling Stolen Goods,2,Hackney
124,124,201104,Violence Against The Person,Other Violence,22,Hackney
